multa_id,patente,fecha,hora,velocidad_registrada,velocidad_maxima,ubicacion,radar_id,estado_multa,exceso_velocidad_real,exceso_velocidad,imagen,patente_imagen,ratio
3009,BB8986,1932-01-01,00:00,104.0,60,RUTA 9,R03,PAGADA,44.0,41.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
3221,BB8986,1932-01-01,20:18,81.0,60,AV LIBERTADOR,R02,APELADA,21.0,18.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
3270,BB8986,1932-01-01,00:00,94.0,40,RUTA 9,R02,APELADA,54.0,52.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
3783,BB8986,1932-01-01,16:16,64.0,60,AV SIEMPRE VIVA,R01,PAGADA,4.0,1.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
3968,BB8986,1932-01-01,00:00,91.0,40,AV SIEMPRE VIVA,R01,IMPAGA,51.0,49.0,urban_flow/data/raw/imgs/urban_flow_plates/7cbc7ee444622a66_patente.jpg,BB8986,100.0
155,691XC80,2024-01-03,00:00,116.0,80,RUTA 9,R01,PAGADA,36.0,32.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
380,691XC80,1932-01-01,00:00,103.0,80,AV LIBERTADOR,R01,APELADA,23.0,19.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
441,691XC80,2021-08-13,18:21,117.0,60,AV SIEMPRE VIVA,R01,ERROR,57.0,54.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
482,691XC80,1932-01-01,18:23,106.0,40,RUTA 9,R03,ERROR,66.0,64.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
486,691XC80,2020-05-20,18:23,92.0,60,AV SIEMPRE VIVA,R01,ERROR,32.0,29.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
506,691XC80,1932-01-01,14:16,53.0,40,AV LIBERTADOR,R01,PAGADA,13.0,11.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
909,691XC80,1932-01-01,08:34,117.0,80,AV LIBERTADOR,R02,IMPAGA,37.0,33.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
939,691XC80,1932-01-01,14:34,49.0,40,AV LIBERTADOR,,IMPAGA,9.0,7.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
1000,691XC80,1932-01-01,00:00,121.0,60,AV LIBERTADOR,R02,APELADA,61.0,58.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
1053,691XC80,1932-01-01,08:41,129.0,60,AV LIBERTADOR,R03,ERROR,69.0,66.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
1259,691XC80,2022-11-29,00:00,117.0,80,AV LIBERTADOR,,APELADA,37.0,33.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
1351,691XC80,1932-01-01,18:58,78.0,60,AV LIBERTADOR,,APELADA,18.0,15.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
1409,691XC80,1932-01-01,00:00,145.0,80,AV LIBERTADOR,R02,PAGADA,65.0,61.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
1528,691XC80,1932-01-01,09:03,105.0,60,AV SIEMPRE VIVA,R01,IMPAGA,45.0,42.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
1589,691XC80,1932-01-01,00:00,134.0,60,AV SIEMPRE VIVA,R02,PAGADA,74.0,71.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
2369,691XC80,1932-01-01,19:40,107.0,60,AV SIEMPRE VIVA,R01,ERROR,47.0,44.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
2383,691XC80,2023-05-19,00:00,67.0,60,AV LIBERTADOR,R01,APELADA,7.0,4.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
2504,691XC80,1932-01-01,09:43,114.0,40,RUTA 9,R01,IMPAGA,74.0,72.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
2560,691XC80,1932-01-01,15:31,115.0,60,AV LIBERTADOR,R01,PAGADA,55.0,52.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
2706,691XC80,1932-01-01,09:51,121.0,80,AV LIBERTADOR,R02,APELADA,41.0,37.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
2942,691XC80,1932-01-01,15:44,123.0,60,AV SIEMPRE VIVA,R01,APELADA,63.0,60.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
2957,691XC80,1932-01-01,00:00,135.0,60,AV LIBERTADOR,R02,PAGADA,75.0,72.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
2989,691XC80,1932-01-01,00:00,117.0,60,AV SIEMPRE VIVA,R01,PAGADA,57.0,54.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
3073,691XC80,1932-01-01,20:10,120.0,60,AV SIEMPRE VIVA,,ERROR,60.0,57.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
3190,691XC80,2020-08-16,00:00,118.0,80,RUTA 9,R03,IMPAGA,38.0,34.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
3347,691XC80,1932-01-01,15:57,51.0,40,RUTA 9,R01,IMPAGA,11.0,9.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
3807,691XC80,1932-01-01,16:17,128.0,80,AV LIBERTADOR,R01,PAGADA,48.0,44.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
3844,691XC80,1932-01-01,00:00,111.0,40,AV SIEMPRE VIVA,R02,APELADA,71.0,69.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
3900,691XC80,2023-12-30,10:39,75.0,40,RUTA 9,R03,IMPAGA,35.0,33.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
3938,691XC80,1932-01-01,10:41,64.0,40,AV LIBERTADOR,R03,IMPAGA,24.0,22.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
3946,691XC80,1932-01-01,00:00,45.0,40,AV SIEMPRE VIVA,R02,ERROR,5.0,3.0,urban_flow/data/raw/imgs/urban_flow_plates/5a122adbb1a776b7_patente.jpg,691XC80,100.0
231,AI7OVF,1932-01-01,14:07,108.0,60,AV LIBERTADOR,R03,APELADA,48.0,45.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
682,AI7OVF,1932-01-01,14:24,67.0,40,AV LIBERTADOR,,ERROR,27.0,25.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
684,AI7OVF,1932-01-01,18:31,113.0,60,AV LIBERTADOR,R03,APELADA,53.0,50.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
842,AI7OVF,1932-01-01,14:30,54.0,40,AV LIBERTADOR,R03,PAGADA,14.0,12.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
1147,AI7OVF,2020-03-16,14:42,114.0,60,AV LIBERTADOR,R01,ERROR,54.0,51.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
1195,AI7OVF,1932-01-01,00:00,60.0,40,RUTA 9,R01,IMPAGA,20.0,18.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
1475,AI7OVF,2022-02-23,19:04,106.0,60,AV LIBERTADOR,,ERROR,46.0,43.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
1735,AI7OVF,1932-01-01,00:00,151.0,80,AV SIEMPRE VIVA,R02,ERROR,71.0,67.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
2156,AI7OVF,1932-01-01,09:28,113.0,80,AV LIBERTADOR,R02,ERROR,33.0,29.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
2391,AI7OVF,2023-09-28,15:25,140.0,60,RUTA 9,R02,PAGADA,80.0,77.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
2512,AI7OVF,1932-01-01,00:00,81.0,40,AV LIBERTADOR,R03,IMPAGA,41.0,39.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
2520,AI7OVF,1932-01-01,09:44,112.0,40,AV SIEMPRE VIVA,R02,PAGADA,72.0,70.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
2540,AI7OVF,1932-01-01,15:30,67.0,40,AV LIBERTADOR,R03,APELADA,27.0,25.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
2679,AI7OVF,1932-01-01,00:00,111.0,80,AV LIBERTADOR,R03,ERROR,31.0,27.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
2740,AI7OVF,2023-09-04,15:36,133.0,60,AV LIBERTADOR,,ERROR,73.0,70.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
3228,AI7OVF,1932-01-01,20:18,119.0,60,RUTA 9,R02,PAGADA,59.0,56.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
3503,AI7OVF,1932-01-01,00:00,90.0,40,AV LIBERTADOR,R01,IMPAGA,50.0,48.0,urban_flow/data/raw/imgs/urban_flow_plates/747b0f12f54703ee_patente.jpg,AI70VF,83.33
21,BHRP770,1932-01-01,08:01,71.0,60,RUTA 9,R03,PAGADA,11.0,8.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
262,BHRP770,1932-01-01,00:00,94.0,60,AV LIBERTADOR,R01,ERROR,34.0,31.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
568,BHRP770,1932-01-01,08:20,153.0,80,RUTA 9,R03,ERROR,73.0,69.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
689,BHRP770,1932-01-01,18:31,114.0,80,AV SIEMPRE VIVA,,IMPAGA,34.0,30.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
713,BHRP770,2020-12-12,00:00,119.0,80,AV LIBERTADOR,R01,APELADA,39.0,35.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
945,BHRP770,2021-03-11,00:00,95.0,60,AV LIBERTADOR,,APELADA,35.0,32.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
1117,BHRP770,1932-01-01,00:00,158.0,80,RUTA 9,,APELADA,78.0,74.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
1231,BHRP770,2022-12-11,14:44,115.0,60,AV LIBERTADOR,R02,APELADA,55.0,52.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
1468,BHRP770,1932-01-01,09:00,95.0,80,AV SIEMPRE VIVA,R02,IMPAGA,15.0,11.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
1517,BHRP770,1932-01-01,19:05,101.0,40,RUTA 9,R02,IMPAGA,61.0,59.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
1765,BHRP770,1932-01-01,15:04,104.0,80,RUTA 9,,ERROR,24.0,20.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
1847,BHRP770,2021-04-07,09:16,67.0,40,RUTA 9,R03,APELADA,27.0,25.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
2180,BHRP770,1932-01-01,09:30,79.0,40,AV LIBERTADOR,R03,ERROR,39.0,37.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
2377,BHRP770,1932-01-01,19:41,148.0,80,AV SIEMPRE VIVA,,PAGADA,68.0,64.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
2393,BHRP770,2020-12-08,09:38,61.0,40,AV SIEMPRE VIVA,R03,IMPAGA,21.0,19.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
2436,BHRP770,1932-01-01,00:00,49.0,40,AV LIBERTADOR,R02,ERROR,9.0,7.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
2546,BHRP770,1932-01-01,09:45,91.0,80,AV SIEMPRE VIVA,,IMPAGA,11.0,7.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
2563,BHRP770,1932-01-01,09:46,118.0,40,AV SIEMPRE VIVA,R03,ERROR,78.0,76.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
2569,BHRP770,1932-01-01,09:46,90.0,40,AV SIEMPRE VIVA,R02,PAGADA,50.0,48.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
2916,BHRP770,1932-01-01,00:00,95.0,40,AV LIBERTADOR,,PAGADA,55.0,53.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
3102,BHRP770,1932-01-01,20:12,55.0,40,RUTA 9,,PAGADA,15.0,13.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
3188,BHRP770,2021-02-09,15:53,116.0,60,AV SIEMPRE VIVA,,APELADA,56.0,53.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
3311,BHRP770,2022-06-01,20:22,90.0,60,AV LIBERTADOR,R02,APELADA,30.0,27.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
3401,BHRP770,1932-01-01,20:25,130.0,60,AV LIBERTADOR,,PAGADA,70.0,67.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
3456,BHRP770,2023-12-08,20:27,106.0,60,AV LIBERTADOR,R01,ERROR,46.0,43.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
3569,BHRP770,1932-01-01,20:30,109.0,60,AV SIEMPRE VIVA,R01,ERROR,49.0,46.0,urban_flow/data/raw/imgs/urban_flow_plates/321ffb38656f7311_patente.jpg,BHRP770,100.0
138,831MDB,2021-05-09,18:06,153.0,80,AV SIEMPRE VIVA,R03,ERROR,73.0,69.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
236,831MDB,1932-01-01,08:09,70.0,60,RUTA 9,R03,PAGADA,10.0,7.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
481,831MDB,1932-01-01,00:00,93.0,80,RUTA 9,R03,IMPAGA,13.0,9.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
718,831MDB,1932-01-01,08:25,135.0,60,AV LIBERTADOR,R02,APELADA,75.0,72.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
1022,831MDB,1932-01-01,00:00,153.0,80,AV LIBERTADOR,R01,IMPAGA,73.0,69.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
1315,831MDB,2022-12-06,08:54,76.0,60,AV LIBERTADOR,R02,ERROR,16.0,13.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
1451,831MDB,1932-01-01,14:53,100.0,80,RUTA 9,,IMPAGA,20.0,16.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
1559,831MDB,2020-06-20,09:03,89.0,40,AV SIEMPRE VIVA,R03,IMPAGA,49.0,47.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
1788,831MDB,2020-03-22,00:00,105.0,80,AV SIEMPRE VIVA,R03,ERROR,25.0,21.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
1821,831MDB,1932-01-01,19:18,95.0,40,AV LIBERTADOR,,IMPAGA,55.0,53.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
1842,831MDB,1932-01-01,09:15,98.0,40,AV LIBERTADOR,,ERROR,58.0,56.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
1918,831MDB,1932-01-01,19:21,104.0,80,AV LIBERTADOR,,IMPAGA,24.0,20.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
2010,831MDB,2021-04-25,00:00,75.0,40,RUTA 9,R03,APELADA,35.0,33.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
2085,831MDB,1932-01-01,00:00,101.0,40,RUTA 9,,IMPAGA,61.0,59.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
2130,831MDB,2021-09-20,00:00,90.0,60,RUTA 9,R01,ERROR,30.0,27.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
2447,831MDB,2023-01-28,09:40,133.0,80,AV LIBERTADOR,R02,APELADA,53.0,49.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
2450,831MDB,1932-01-01,00:00,126.0,80,AV SIEMPRE VIVA,R02,PAGADA,46.0,42.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
2598,831MDB,1932-01-01,19:51,122.0,80,AV LIBERTADOR,R02,ERROR,42.0,38.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
2845,831MDB,1932-01-01,09:58,154.0,80,AV LIBERTADOR,R01,IMPAGA,74.0,70.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
2892,831MDB,1932-01-01,20:03,117.0,60,AV SIEMPRE VIVA,R03,PAGADA,57.0,54.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
2978,831MDB,1932-01-01,00:00,139.0,60,AV SIEMPRE VIVA,R02,ERROR,79.0,76.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
3059,831MDB,1932-01-01,00:00,109.0,40,AV LIBERTADOR,R03,ERROR,69.0,67.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
3128,831MDB,2023-12-16,00:00,60.0,40,AV SIEMPRE VIVA,R01,PAGADA,20.0,18.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
3287,831MDB,1932-01-01,15:55,116.0,80,RUTA 9,R01,IMPAGA,36.0,32.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
3458,831MDB,1932-01-01,20:27,158.0,80,AV SIEMPRE VIVA,,APELADA,78.0,74.0,urban_flow/data/raw/imgs/urban_flow_plates/628a23a43f19c4db_patente.jpg,835MDBHOAT,83.33
31,M431ZW,1932-01-01,14:01,123.0,60,RUTA 9,R03,PAGADA,63.0,60.0,urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
64,M431ZW,1932-01-01,00:00,86.0,80,RUTA 9,R01,APELADA,6.0,2.0,urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
216,M431ZW,1932-01-01,00:00,109.0,60,RUTA 9,R03,APELADA,49.0,46.0,urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
492,M431ZW,1932-01-01,00:00,62.0,40,AV SIEMPRE VIVA,R02,APELADA,22.0,20.0,urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
627,M431ZW,1932-01-01,18:28,146.0,80,AV SIEMPRE VIVA,R02,ERROR,66.0,62.0,urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
814,M431ZW,1932-01-01,00:00,132.0,60,AV LIBERTADOR,R01,APELADA,72.0,69.0,urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
841,M431ZW,1932-01-01,00:00,114.0,60,AV SIEMPRE VIVA,R03,ERROR,54.0,51.0,urban_flow/data/raw/imgs/urban_flow_plates/299f0363ae21d1c3_patente.jpg,M431ZM,83.33
